"placa","estatus","placa_anterior","years_adeudos","years"
"318WWC","Adeudos",NA,5,"2019"
"318WWC","Adeudos",NA,5,"2020"
"318WWC","Adeudos",NA,5,"2021"
"318WWD","Adeudos",NA,4,"2018"
"318WWD","Adeudos",NA,4,"2019"
"318WWD","Adeudos",NA,4,"2020"
"318WWD","Adeudos",NA,4,"2021"
"318WWE","Sin adeudos",NA,0,"0"
"318WWF","Adeudos",NA,5,"2017"
"318WWF","Adeudos",NA,5,"2018"
"318WWF","Adeudos",NA,5,"2019"
"318WWF","Adeudos",NA,5,"2020"
"318WWF","Adeudos",NA,5,"2021"
"318WWG","Adeudos",NA,3,"2019"
"318WWG","Adeudos",NA,3,"2020"
"318WWG","Adeudos",NA,3,"2021"
"318WWJ","Adeudos",NA,6,"2016"
"318WWJ","Adeudos",NA,6,"2017"
"318WWJ","Adeudos",NA,6,"2018"
"318WWJ","Adeudos",NA,6,"2019"
"318WWJ","Adeudos",NA,6,"2020"
"318WWJ","Adeudos",NA,6,"2021"
"318WWM","Sin adeudos",NA,0,"0"
"318WWP","Adeudos",NA,4,"2017"
"318WWP","Adeudos",NA,4,"2018"
"318WWP","Adeudos",NA,4,"2020"
"318WWP","Adeudos",NA,4,"2021"
"318WWS","Adeudos",NA,3,"2019"
"318WWS","Adeudos",NA,3,"2020"
"318WWS","Adeudos",NA,3,"2021"
"318WWT","Adeudos",NA,2,"2020"
"318WWT","Adeudos",NA,2,"2021"
"318WWV","Sin adeudos",NA,0,"0"
"318WWX","Sin adeudos",NA,0,"0"
"318WWY","Adeudos",NA,5,"2017"
"318WWY","Adeudos",NA,5,"2018"
"318WWY","Adeudos",NA,5,"2019"
"318WWY","Adeudos",NA,5,"2020"
"318WWY","Adeudos",NA,5,"2021"
"318WXA","Adeudos",NA,1,"2021"
"318WXB","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"318WXD","Sin adeudos",NA,0,"0"
"318WXF","Sin adeudos",NA,0,"0"
"318WXG","Sin adeudos",NA,0,"0"
"318WXH","Adeudos",NA,4,"2018"
"318WXH","Adeudos",NA,4,"2019"
"318WXH","Adeudos",NA,4,"2020"
"318WXH","Adeudos",NA,4,"2021"
"318WXK","Sin adeudos",NA,0,"0"
"318WXL","Adeudos",NA,5,"2017"
"318WXL","Adeudos",NA,5,"2018"
"318WXL","Adeudos",NA,5,"2019"
"318WXL","Adeudos",NA,5,"2020"
"318WXL","Adeudos",NA,5,"2021"
"318WXN","Sin adeudos",NA,0,"0"
"318WXS","Adeudos",NA,6,"2015"
"318WXS","Adeudos",NA,6,"2017"
"318WXS","Adeudos",NA,6,"2018"
"318WXS","Adeudos",NA,6,"2019"
"318WXS","Adeudos",NA,6,"2020"
"318WXS","Adeudos",NA,6,"2021"
"318WXU","Adeudos",NA,4,"2018"
"318WXU","Adeudos",NA,4,"2019"
"318WXU","Adeudos",NA,4,"2020"
"318WXU","Adeudos",NA,4,"2021"
"318WXV","Adeudos",NA,1,"2021"
"318WXX","Adeudos",NA,1,"2021"
"318WXY","Sin adeudos",NA,0,"0"
"318WXZ","Sin adeudos",NA,0,"0"
"318WYA","Adeudos",NA,4,"2018"
"318WYA","Adeudos",NA,4,"2019"
"318WYA","Adeudos",NA,4,"2020"
"318WYA","Adeudos",NA,4,"2021"
"318WYB","Adeudos",NA,6,"2016"
"318WYB","Adeudos",NA,6,"2017"
"318WYB","Adeudos",NA,6,"2018"
"318WYB","Adeudos",NA,6,"2019"
"318WYB","Adeudos",NA,6,"2020"
"318WYB","Adeudos",NA,6,"2021"
"318WYC","Adeudos",NA,6,"2016"
"318WYC","Adeudos",NA,6,"2017"
"318WYC","Adeudos",NA,6,"2018"
"318WYC","Adeudos",NA,6,"2019"
"318WYC","Adeudos",NA,6,"2020"
"318WYC","Adeudos",NA,6,"2021"
"318WYD","Sin adeudos",NA,0,"0"
"318WYG","Adeudos",NA,3,"2019"
"318WYG","Adeudos",NA,3,"2020"
"318WYG","Adeudos",NA,3,"2021"
"318WYL","Cuenta con Placa Anterior y Sin adeudos","318WYL",0,"0"
"318WYN","Adeudos",NA,5,"2017"
"318WYN","Adeudos",NA,5,"2018"
"318WYN","Adeudos",NA,5,"2019"
"318WYN","Adeudos",NA,5,"2020"
"318WYN","Adeudos",NA,5,"2021"
"318WYR","Adeudos",NA,3,"2019"
"318WYR","Adeudos",NA,3,"2020"
"318WYR","Adeudos",NA,3,"2021"
"318WYS","Sin adeudos",NA,0,"0"
"318WYU","Cuenta con Placa Anterior y Adeudos","681SGT",5,"2017"
"318WYU","Cuenta con Placa Anterior y Adeudos","681SGT",5,"2018"
"318WYU","Cuenta con Placa Anterior y Adeudos","681SGT",5,"2019"
"318WYU","Cuenta con Placa Anterior y Adeudos","681SGT",5,"2020"
"318WYU","Cuenta con Placa Anterior y Adeudos","681SGT",5,"2021"
"318WYV","Adeudos",NA,5,"2017"
"318WYV","Adeudos",NA,5,"2018"
"318WYV","Adeudos",NA,5,"2019"
"318WYV","Adeudos",NA,5,"2020"
"318WYV","Adeudos",NA,5,"2021"
"318WYX","Sin adeudos",NA,0,"0"
"318WYY","Adeudos",NA,4,"2018"
"318WYY","Adeudos",NA,4,"2019"
"318WYY","Adeudos",NA,4,"2020"
"318WYY","Adeudos",NA,4,"2021"
"318WZA","Adeudos",NA,1,"2021"
"318WZC","Adeudos",NA,5,"2017"
"318WZC","Adeudos",NA,5,"2018"
"318WZC","Adeudos",NA,5,"2019"
"318WZC","Adeudos",NA,5,"2020"
"318WZC","Adeudos",NA,5,"2021"
"318WZD","Adeudos",NA,4,"2018"
"318WZD","Adeudos",NA,4,"2019"
"318WZD","Adeudos",NA,4,"2020"
"318WZD","Adeudos",NA,4,"2021"
"318WZE","Sin adeudos",NA,0,"0"
"318WZF","Sin adeudos",NA,0,"0"
"318WZH","El número de placa no se localizó en el padrón",NA,0,"0"
"318WZK","Sin adeudos",NA,0,"0"
"318WZU","Adeudos",NA,4,"2017"
"318WZU","Adeudos",NA,4,"2018"
"318WZU","Adeudos",NA,4,"2020"
"318WZU","Adeudos",NA,4,"2021"
"318WZW","Adeudos",NA,4,"2018"
"318WZW","Adeudos",NA,4,"2019"
"318WZW","Adeudos",NA,4,"2020"
"318WZW","Adeudos",NA,4,"2021"
"318WZX","Sin adeudos",NA,0,"0"
"318WZY","Adeudos",NA,5,"2017"
"318WZY","Adeudos",NA,5,"2018"
"318WZY","Adeudos",NA,5,"2019"
"318WZY","Adeudos",NA,5,"2020"
"318WZY","Adeudos",NA,5,"2021"
"318WZZ","Adeudos",NA,3,"2019"
"318WZZ","Adeudos",NA,3,"2020"
"318WZZ","Adeudos",NA,3,"2021"
"318XAA","Adeudos",NA,6,"2016"
"318XAA","Adeudos",NA,6,"2017"
"318XAA","Adeudos",NA,6,"2018"
"318XAA","Adeudos",NA,6,"2019"
"318XAA","Adeudos",NA,6,"2020"
"318XAA","Adeudos",NA,6,"2021"
"318XAB","Sin adeudos",NA,0,"0"
"318XAC","Sin adeudos",NA,0,"0"
"318XAD","Sin adeudos",NA,0,"0"
"318XAE","Adeudos",NA,5,"2017"
"318XAE","Adeudos",NA,5,"2018"
"318XAE","Adeudos",NA,5,"2019"
"318XAE","Adeudos",NA,5,"2020"
"318XAE","Adeudos",NA,5,"2021"
"318XAF","Sin adeudos",NA,0,"0"
"318XAK","Adeudos",NA,4,"2018"
"318XAK","Adeudos",NA,4,"2019"
"318XAK","Adeudos",NA,4,"2020"
"318XAK","Adeudos",NA,4,"2021"
"318XAM","Adeudos",NA,2,"2020"
"318XAM","Adeudos",NA,2,"2021"
"318XAN","Sin adeudos",NA,0,"0"
"318XAP","Adeudos",NA,4,"2018"
"318XAP","Adeudos",NA,4,"2019"
"318XAP","Adeudos",NA,4,"2020"
"318XAP","Adeudos",NA,4,"2021"
"318XAS","Sin adeudos",NA,0,"0"
"318XAT","Adeudos",NA,2,"2020"
"318XAT","Adeudos",NA,2,"2021"
"318XAY","Adeudos",NA,4,"2018"
"318XAY","Adeudos",NA,4,"2019"
"318XAY","Adeudos",NA,4,"2020"
"318XAY","Adeudos",NA,4,"2021"
"318XAZ","Adeudos",NA,3,"2019"
"318XAZ","Adeudos",NA,3,"2020"
"318XAZ","Adeudos",NA,3,"2021"
"318XBB","Sin adeudos",NA,0,"0"
"318XBD","Adeudos",NA,2,"2020"
"318XBD","Adeudos",NA,2,"2021"
"318XBE","Cuenta con Placa Anterior y Adeudos","329USS",7,"2015"
"318XBE","Cuenta con Placa Anterior y Adeudos","329USS",7,"2016"
"318XBE","Cuenta con Placa Anterior y Adeudos","329USS",7,"2017"
"318XBE","Cuenta con Placa Anterior y Adeudos","329USS",7,"2018"
"318XBE","Cuenta con Placa Anterior y Adeudos","329USS",7,"2019"
"318XBE","Cuenta con Placa Anterior y Adeudos","329USS",7,"2020"
"318XBE","Cuenta con Placa Anterior y Adeudos","329USS",7,"2021"
"318XBK","Adeudos",NA,4,"2018"
"318XBK","Adeudos",NA,4,"2019"
"318XBK","Adeudos",NA,4,"2020"
"318XBK","Adeudos",NA,4,"2021"
"318XBM","Vehiculo reportado por Fiscalizacion y no puede verificar",NA,0,"0"
"318XBN","Adeudos",NA,4,"2018"
"318XBN","Adeudos",NA,4,"2019"
"318XBN","Adeudos",NA,4,"2020"
"318XBN","Adeudos",NA,4,"2021"
"318XBR","Adeudos",NA,5,"2017"
"318XBR","Adeudos",NA,5,"2018"
"318XBR","Adeudos",NA,5,"2019"
"318XBR","Adeudos",NA,5,"2020"
"318XBR","Adeudos",NA,5,"2021"
"318XBS","Sin adeudos",NA,0,"0"
"318XBU","Adeudos",NA,6,"2016"
"318XBU","Adeudos",NA,6,"2017"
"318XBU","Adeudos",NA,6,"2018"
"318XBU","Adeudos",NA,6,"2019"
"318XBU","Adeudos",NA,6,"2020"
"318XBU","Adeudos",NA,6,"2021"
"318XBV","Sin adeudos",NA,0,"0"
"318XBW","Sin adeudos",NA,0,"0"
"318XBX","Sin adeudos",NA,0,"0"
"318XCA","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"318XCB","Sin adeudos",NA,0,"0"
"318XCC","Sin adeudos",NA,0,"0"
"318XCG","Vehiculo reportado por Fiscalizacion y no puede verificar",NA,0,"0"
"318XCH","Sin adeudos",NA,0,"0"
"318XCL","Adeudos",NA,1,"2021"
"318XCN","Adeudos",NA,4,"2018"
"318XCN","Adeudos",NA,4,"2019"
"318XCN","Adeudos",NA,4,"2020"
"318XCN","Adeudos",NA,4,"2021"
"318XCP","Adeudos",NA,3,"2019"
"318XCP","Adeudos",NA,3,"2020"
"318XCP","Adeudos",NA,3,"2021"
"318XCR","Adeudos",NA,2,"2020"
"318XCR","Adeudos",NA,2,"2021"
"318XCS","Sin adeudos",NA,0,"0"
"318XCU","Sin adeudos",NA,0,"0"
"318XCW","Sin adeudos",NA,0,"0"
"318XCY","Sin adeudos",NA,0,"0"
"318XCZ","Adeudos",NA,3,"2019"
"318XCZ","Adeudos",NA,3,"2020"
"318XCZ","Adeudos",NA,3,"2021"
"318XDA","Sin adeudos",NA,0,"0"
"318XDC","Adeudos",NA,6,"2016"
"318XDC","Adeudos",NA,6,"2017"
"318XDC","Adeudos",NA,6,"2018"
"318XDC","Adeudos",NA,6,"2019"
"318XDC","Adeudos",NA,6,"2020"
"318XDC","Adeudos",NA,6,"2021"
"318XDG","Sin adeudos",NA,0,"0"
"318XDH","Sin adeudos",NA,0,"0"
"318XDN","Cuenta con Placa Anterior y Adeudos","188VMS",5,"2017"
"318XDN","Cuenta con Placa Anterior y Adeudos","188VMS",5,"2018"
"318XDN","Cuenta con Placa Anterior y Adeudos","188VMS",5,"2019"
"318XDN","Cuenta con Placa Anterior y Adeudos","188VMS",5,"2020"
"318XDN","Cuenta con Placa Anterior y Adeudos","188VMS",5,"2021"
"318XDP","Adeudos",NA,5,"2017"
"318XDP","Adeudos",NA,5,"2018"
"318XDP","Adeudos",NA,5,"2019"
"318XDP","Adeudos",NA,5,"2020"
"318XDP","Adeudos",NA,5,"2021"
"318XDR","Adeudos",NA,1,"2021"
"318XDS","Adeudos",NA,3,"2019"
"318XDS","Adeudos",NA,3,"2020"
"318XDS","Adeudos",NA,3,"2021"
"318XDX","Adeudos",NA,1,"2021"
"318XDY","Cuenta con Placa Anterior y Adeudos","678WXC",6,"2015"
"318XDY","Cuenta con Placa Anterior y Adeudos","678WXC",6,"2017"
"318XDY","Cuenta con Placa Anterior y Adeudos","678WXC",6,"2018"
"318XDY","Cuenta con Placa Anterior y Adeudos","678WXC",6,"2019"
"318XDY","Cuenta con Placa Anterior y Adeudos","678WXC",6,"2020"
"318XDY","Cuenta con Placa Anterior y Adeudos","678WXC",6,"2021"
"318XDZ","Adeudos",NA,3,"2019"
"318XDZ","Adeudos",NA,3,"2020"
"318XDZ","Adeudos",NA,3,"2021"
"318XEA","Adeudos",NA,6,"2016"
"318XEA","Adeudos",NA,6,"2017"
"318XEA","Adeudos",NA,6,"2018"
"318XEA","Adeudos",NA,6,"2019"
"318XEA","Adeudos",NA,6,"2020"
"318XEA","Adeudos",NA,6,"2021"
"318XEB","Sin adeudos",NA,0,"0"
"318XEC","Sin adeudos",NA,0,"0"
"318XEE","Sin adeudos",NA,0,"0"
"318XEG","Adeudos",NA,5,"2017"
"318XEG","Adeudos",NA,5,"2018"
"318XEG","Adeudos",NA,5,"2019"
"318XEG","Adeudos",NA,5,"2020"
"318XEG","Adeudos",NA,5,"2021"
"318XEH","Sin adeudos",NA,0,"0"
"318XEJ","Cuenta con Placa Anterior y Adeudos","376NXR",3,"2016"
"318XEJ","Cuenta con Placa Anterior y Adeudos","376NXR",3,"2017"
"318XEJ","Cuenta con Placa Anterior y Adeudos","376NXR",3,"2018"
"318XEN","Sin adeudos",NA,0,"0"
"318XEP","Sin adeudos",NA,0,"0"
"318XER","Sin adeudos",NA,0,"0"
"318XEU","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"318XEV","Adeudos",NA,5,"2017"
"318XEV","Adeudos",NA,5,"2018"
"318XEV","Adeudos",NA,5,"2019"
"318XEV","Adeudos",NA,5,"2020"
"318XEV","Adeudos",NA,5,"2021"
"318XEW","Adeudos",NA,1,"2021"
"318XEX","Adeudos",NA,5,"2017"
"318XEX","Adeudos",NA,5,"2018"
"318XEX","Adeudos",NA,5,"2019"
"318XEX","Adeudos",NA,5,"2020"
"318XEX","Adeudos",NA,5,"2021"
"318XEY","Sin adeudos",NA,0,"0"
"318XEZ","Adeudos",NA,1,"2021"
"318XFA","Sin adeudos",NA,0,"0"
"318XFB","Adeudos",NA,6,"2016"
"318XFB","Adeudos",NA,6,"2017"
"318XFB","Adeudos",NA,6,"2018"
"318XFB","Adeudos",NA,6,"2019"
"318XFB","Adeudos",NA,6,"2020"
"318XFB","Adeudos",NA,6,"2021"
"318XFG","Adeudos",NA,3,"2019"
"318XFG","Adeudos",NA,3,"2020"
"318XFG","Adeudos",NA,3,"2021"
"318XFH","Adeudos",NA,6,"2016"
"318XFH","Adeudos",NA,6,"2017"
"318XFH","Adeudos",NA,6,"2018"
"318XFH","Adeudos",NA,6,"2019"
"318XFH","Adeudos",NA,6,"2020"
"318XFH","Adeudos",NA,6,"2021"
"318XFL","Adeudos",NA,1,"2021"
"318XFN","Adeudos",NA,5,"2017"
"318XFN","Adeudos",NA,5,"2018"
"318XFN","Adeudos",NA,5,"2019"
"318XFN","Adeudos",NA,5,"2020"
"318XFN","Adeudos",NA,5,"2021"
"318XFV","Sin adeudos",NA,0,"0"
"318XFW","Sin adeudos",NA,0,"0"
"318XGA","Adeudos",NA,2,"2020"
"318XGA","Adeudos",NA,2,"2021"
"318XGB","Adeudos",NA,4,"2018"
"318XGB","Adeudos",NA,4,"2019"
"318XGB","Adeudos",NA,4,"2020"
"318XGB","Adeudos",NA,4,"2021"
"318XGE","Adeudos",NA,6,"2016"
"318XGE","Adeudos",NA,6,"2017"
"318XGE","Adeudos",NA,6,"2018"
"318XGE","Adeudos",NA,6,"2019"
"318XGE","Adeudos",NA,6,"2020"
"318XGE","Adeudos",NA,6,"2021"
"318XGF","Adeudos",NA,1,"2021"
"318XGG","Adeudos",NA,5,"2017"
"318XGG","Adeudos",NA,5,"2018"
"318XGG","Adeudos",NA,5,"2019"
"318XGG","Adeudos",NA,5,"2020"
"318XGG","Adeudos",NA,5,"2021"
"318XGJ","Sin adeudos",NA,0,"0"
"318XGK","Adeudos",NA,4,"2018"
"318XGK","Adeudos",NA,4,"2019"
"318XGK","Adeudos",NA,4,"2020"
"318XGK","Adeudos",NA,4,"2021"
"318XGL","Adeudos",NA,5,"2017"
"318XGL","Adeudos",NA,5,"2018"
"318XGL","Adeudos",NA,5,"2019"
"318XGL","Adeudos",NA,5,"2020"
"318XGL","Adeudos",NA,5,"2021"
"318XGN","Adeudos",NA,5,"2017"
"318XGN","Adeudos",NA,5,"2018"
"318XGN","Adeudos",NA,5,"2019"
"318XGN","Adeudos",NA,5,"2020"
"318XGN","Adeudos",NA,5,"2021"
"318XGR","Sin adeudos",NA,0,"0"
"318XGS","Sin adeudos",NA,0,"0"
"318XGT","Adeudos",NA,6,"2016"
"318XGT","Adeudos",NA,6,"2017"
"318XGT","Adeudos",NA,6,"2018"
"318XGT","Adeudos",NA,6,"2019"
"318XGT","Adeudos",NA,6,"2020"
"318XGT","Adeudos",NA,6,"2021"
"318XGU","Adeudos",NA,1,"2021"
"318XGY","Sin adeudos",NA,0,"0"
"318XHA","Sin adeudos",NA,0,"0"
"318XHC","Adeudos",NA,3,"2019"
"318XHC","Adeudos",NA,3,"2020"
"318XHC","Adeudos",NA,3,"2021"
"318XHD","Sin adeudos",NA,0,"0"
"318XHF","Adeudos",NA,4,"2018"
"318XHF","Adeudos",NA,4,"2019"
"318XHF","Adeudos",NA,4,"2020"
"318XHF","Adeudos",NA,4,"2021"
"318XHG","Cuenta con Placa Anterior y Adeudos","788WMY",5,"2017"
"318XHG","Cuenta con Placa Anterior y Adeudos","788WMY",5,"2018"
"318XHG","Cuenta con Placa Anterior y Adeudos","788WMY",5,"2019"
"318XHG","Cuenta con Placa Anterior y Adeudos","788WMY",5,"2020"
"318XHG","Cuenta con Placa Anterior y Adeudos","788WMY",5,"2021"
"318XHJ","Cuenta con Placa Anterior y Adeudos","890PVN",6,"2016"
"318XHJ","Cuenta con Placa Anterior y Adeudos","890PVN",6,"2017"
"318XHJ","Cuenta con Placa Anterior y Adeudos","890PVN",6,"2018"
"318XHJ","Cuenta con Placa Anterior y Adeudos","890PVN",6,"2019"
"318XHJ","Cuenta con Placa Anterior y Adeudos","890PVN",6,"2020"
"318XHJ","Cuenta con Placa Anterior y Adeudos","890PVN",6,"2021"
"318XHL","Adeudos",NA,2,"2020"
"318XHL","Adeudos",NA,2,"2021"
"318XHP","Adeudos",NA,6,"2016"
"318XHP","Adeudos",NA,6,"2017"
"318XHP","Adeudos",NA,6,"2018"
"318XHP","Adeudos",NA,6,"2019"
"318XHP","Adeudos",NA,6,"2020"
"318XHP","Adeudos",NA,6,"2021"
"318XHS","Adeudos",NA,6,"2016"
"318XHS","Adeudos",NA,6,"2017"
"318XHS","Adeudos",NA,6,"2018"
"318XHS","Adeudos",NA,6,"2019"
"318XHS","Adeudos",NA,6,"2020"
"318XHS","Adeudos",NA,6,"2021"
"318XHU","Adeudos",NA,6,"2016"
"318XHU","Adeudos",NA,6,"2017"
"318XHU","Adeudos",NA,6,"2018"
"318XHU","Adeudos",NA,6,"2019"
"318XHU","Adeudos",NA,6,"2020"
"318XHU","Adeudos",NA,6,"2021"
"318XHV","Adeudos",NA,6,"2016"
"318XHV","Adeudos",NA,6,"2017"
"318XHV","Adeudos",NA,6,"2018"
"318XHV","Adeudos",NA,6,"2019"
"318XHV","Adeudos",NA,6,"2020"
"318XHV","Adeudos",NA,6,"2021"
"318XHX","Sin adeudos",NA,0,"0"
"318XJE","Sin adeudos",NA,0,"0"
"318XJF","Adeudos",NA,6,"2016"
"318XJF","Adeudos",NA,6,"2017"
"318XJF","Adeudos",NA,6,"2018"
"318XJF","Adeudos",NA,6,"2019"
"318XJF","Adeudos",NA,6,"2020"
"318XJF","Adeudos",NA,6,"2021"
"318XJG","Sin adeudos",NA,0,"0"
"318XJH","Adeudos",NA,6,"2016"
"318XJH","Adeudos",NA,6,"2017"
"318XJH","Adeudos",NA,6,"2018"
"318XJH","Adeudos",NA,6,"2019"
"318XJH","Adeudos",NA,6,"2020"
"318XJH","Adeudos",NA,6,"2021"
"318XJK","Adeudos",NA,2,"2020"
"318XJK","Adeudos",NA,2,"2021"
"318XJL","Sin adeudos",NA,0,"0"
"318XJM","Adeudos",NA,1,"2021"
"318XJS","Adeudos",NA,2,"2020"
"318XJS","Adeudos",NA,2,"2021"
"318XJT","Adeudos",NA,6,"2016"
"318XJT","Adeudos",NA,6,"2017"
"318XJT","Adeudos",NA,6,"2018"
"318XJT","Adeudos",NA,6,"2019"
"318XJT","Adeudos",NA,6,"2020"
"318XJT","Adeudos",NA,6,"2021"
"318XJY","Adeudos",NA,2,"2020"
"318XJY","Adeudos",NA,2,"2021"
"318XJZ","Cuenta con Placa Anterior y Adeudos","172UFR",1,"2021"
"318XKB","Adeudos",NA,2,"2020"
"318XKB","Adeudos",NA,2,"2021"
"318XKC","Adeudos",NA,5,"2017"
"318XKC","Adeudos",NA,5,"2018"
"318XKC","Adeudos",NA,5,"2019"
"318XKC","Adeudos",NA,5,"2020"
"318XKC","Adeudos",NA,5,"2021"
"318XKH","Adeudos",NA,3,"2019"
"318XKH","Adeudos",NA,3,"2020"
"318XKH","Adeudos",NA,3,"2021"
"318XKJ","Adeudos",NA,3,"2019"
"318XKJ","Adeudos",NA,3,"2020"
"318XKJ","Adeudos",NA,3,"2021"
"318XKL","Cuenta con Placa Anterior y Sin adeudos","875UHX",0,"0"
"318XKM","Sin adeudos",NA,0,"0"
"318XKN","Sin adeudos",NA,0,"0"
