"placa","estatus","placa_anterior","years_adeudos","years"
"314WNL","Sin adeudos",NA,0,"0"
"314WNM","Sin adeudos",NA,0,"0"
"314WNS","Adeudos",NA,6,"2016"
"314WNS","Adeudos",NA,6,"2017"
"314WNS","Adeudos",NA,6,"2018"
"314WNS","Adeudos",NA,6,"2019"
"314WNS","Adeudos",NA,6,"2020"
"314WNS","Adeudos",NA,6,"2021"
"314WNU","Sin adeudos",NA,0,"0"
"314WNV","Sin adeudos",NA,0,"0"
"314WNX","Cuenta con Placa Anterior y Sin adeudos","541WDW",0,"0"
"314WNY","Adeudos",NA,4,"2018"
"314WNY","Adeudos",NA,4,"2019"
"314WNY","Adeudos",NA,4,"2020"
"314WNY","Adeudos",NA,4,"2021"
"314WNZ","Adeudos",NA,5,"2017"
"314WNZ","Adeudos",NA,5,"2018"
"314WNZ","Adeudos",NA,5,"2019"
"314WNZ","Adeudos",NA,5,"2020"
"314WNZ","Adeudos",NA,5,"2021"
"314WPA","Cuenta con Placa Anterior y Adeudos","233UBL",6,"2016"
"314WPA","Cuenta con Placa Anterior y Adeudos","233UBL",6,"2017"
"314WPA","Cuenta con Placa Anterior y Adeudos","233UBL",6,"2018"
"314WPA","Cuenta con Placa Anterior y Adeudos","233UBL",6,"2019"
"314WPA","Cuenta con Placa Anterior y Adeudos","233UBL",6,"2020"
"314WPA","Cuenta con Placa Anterior y Adeudos","233UBL",6,"2021"
"314WPB","Adeudos",NA,6,"2014"
"314WPB","Adeudos",NA,6,"2015"
"314WPB","Adeudos",NA,6,"2018"
"314WPB","Adeudos",NA,6,"2019"
"314WPB","Adeudos",NA,6,"2020"
"314WPB","Adeudos",NA,6,"2021"
"314WPG","Adeudos",NA,4,"2018"
"314WPG","Adeudos",NA,4,"2019"
"314WPG","Adeudos",NA,4,"2020"
"314WPG","Adeudos",NA,4,"2021"
"314WPS","Adeudos",NA,5,"2017"
"314WPS","Adeudos",NA,5,"2018"
"314WPS","Adeudos",NA,5,"2019"
"314WPS","Adeudos",NA,5,"2020"
"314WPS","Adeudos",NA,5,"2021"
"314WPV","Adeudos",NA,6,"2016"
"314WPV","Adeudos",NA,6,"2017"
"314WPV","Adeudos",NA,6,"2018"
"314WPV","Adeudos",NA,6,"2019"
"314WPV","Adeudos",NA,6,"2020"
"314WPV","Adeudos",NA,6,"2021"
"314WPY","Adeudos",NA,6,"2016"
"314WPY","Adeudos",NA,6,"2017"
"314WPY","Adeudos",NA,6,"2018"
"314WPY","Adeudos",NA,6,"2019"
"314WPY","Adeudos",NA,6,"2020"
"314WPY","Adeudos",NA,6,"2021"
"314WRA","Sin adeudos",NA,0,"0"
"314WRB","Adeudos",NA,5,"2017"
"314WRB","Adeudos",NA,5,"2018"
"314WRB","Adeudos",NA,5,"2019"
"314WRB","Adeudos",NA,5,"2020"
"314WRB","Adeudos",NA,5,"2021"
"314WRC","Sin adeudos",NA,0,"0"
"314WRD","Adeudos",NA,5,"2017"
"314WRD","Adeudos",NA,5,"2018"
"314WRD","Adeudos",NA,5,"2019"
"314WRD","Adeudos",NA,5,"2020"
"314WRD","Adeudos",NA,5,"2021"
"314WRF","Adeudos",NA,6,"2016"
"314WRF","Adeudos",NA,6,"2017"
"314WRF","Adeudos",NA,6,"2018"
"314WRF","Adeudos",NA,6,"2019"
"314WRF","Adeudos",NA,6,"2020"
"314WRF","Adeudos",NA,6,"2021"
"314WRH","Cuenta con Placa Anterior y Sin adeudos","314WRH",0,"0"
"314WRJ","Adeudos",NA,1,"2021"
"314WRL","Sin adeudos",NA,0,"0"
"314WRM","Adeudos",NA,1,"2021"
"314WRN","Sin adeudos",NA,0,"0"
"314WRR","Sin adeudos",NA,0,"0"
"314WRS","Adeudos",NA,3,"2019"
"314WRS","Adeudos",NA,3,"2020"
"314WRS","Adeudos",NA,3,"2021"
"314WRT","Adeudos",NA,6,"2016"
"314WRT","Adeudos",NA,6,"2017"
"314WRT","Adeudos",NA,6,"2018"
"314WRT","Adeudos",NA,6,"2019"
"314WRT","Adeudos",NA,6,"2020"
"314WRT","Adeudos",NA,6,"2021"
"314WRX","Sin adeudos",NA,0,"0"
"314WSA","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"314WSB","Adeudos",NA,4,"2018"
"314WSB","Adeudos",NA,4,"2019"
"314WSB","Adeudos",NA,4,"2020"
"314WSB","Adeudos",NA,4,"2021"
"314WSD","Cuenta con Placa Anterior y Sin adeudos","825TVZ",0,"0"
"314WSF","Adeudos",NA,3,"2019"
"314WSF","Adeudos",NA,3,"2020"
"314WSF","Adeudos",NA,3,"2021"
"314WSG","Adeudos",NA,1,"2021"
"314WSH","Adeudos",NA,2,"2020"
"314WSH","Adeudos",NA,2,"2021"
"314WSJ","Adeudos",NA,4,"2018"
"314WSJ","Adeudos",NA,4,"2019"
"314WSJ","Adeudos",NA,4,"2020"
"314WSJ","Adeudos",NA,4,"2021"
"314WSL","Adeudos",NA,4,"2018"
"314WSL","Adeudos",NA,4,"2019"
"314WSL","Adeudos",NA,4,"2020"
"314WSL","Adeudos",NA,4,"2021"
"314WSN","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"314WSR","Adeudos",NA,3,"2019"
"314WSR","Adeudos",NA,3,"2020"
"314WSR","Adeudos",NA,3,"2021"
"314WSV","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"314WSW","Sin adeudos",NA,0,"0"
"314WSX","Adeudos",NA,4,"2018"
"314WSX","Adeudos",NA,4,"2019"
"314WSX","Adeudos",NA,4,"2020"
"314WSX","Adeudos",NA,4,"2021"
"314WTA","Adeudos",NA,4,"2017"
"314WTA","Adeudos",NA,4,"2018"
"314WTA","Adeudos",NA,4,"2020"
"314WTA","Adeudos",NA,4,"2021"
"314WTC","Cuenta con Placa Anterior y Adeudos","569TLH",5,"2017"
"314WTC","Cuenta con Placa Anterior y Adeudos","569TLH",5,"2018"
"314WTC","Cuenta con Placa Anterior y Adeudos","569TLH",5,"2019"
"314WTC","Cuenta con Placa Anterior y Adeudos","569TLH",5,"2020"
"314WTC","Cuenta con Placa Anterior y Adeudos","569TLH",5,"2021"
"314WTD","Sin adeudos",NA,0,"0"
"314WTF","Adeudos",NA,3,"2019"
"314WTF","Adeudos",NA,3,"2020"
"314WTF","Adeudos",NA,3,"2021"
"314WTL","Adeudos",NA,6,"2016"
"314WTL","Adeudos",NA,6,"2017"
"314WTL","Adeudos",NA,6,"2018"
"314WTL","Adeudos",NA,6,"2019"
"314WTL","Adeudos",NA,6,"2020"
"314WTL","Adeudos",NA,6,"2021"
"314WTM","Adeudos",NA,5,"2017"
"314WTM","Adeudos",NA,5,"2018"
"314WTM","Adeudos",NA,5,"2019"
"314WTM","Adeudos",NA,5,"2020"
"314WTM","Adeudos",NA,5,"2021"
"314WTN","Sin adeudos",NA,0,"0"
"314WTP","Adeudos",NA,1,"2021"
"314WTT","Adeudos",NA,3,"2019"
"314WTT","Adeudos",NA,3,"2020"
"314WTT","Adeudos",NA,3,"2021"
"314WTU","Adeudos",NA,3,"2019"
"314WTU","Adeudos",NA,3,"2020"
"314WTU","Adeudos",NA,3,"2021"
"314WUB","Adeudos",NA,5,"2017"
"314WUB","Adeudos",NA,5,"2018"
"314WUB","Adeudos",NA,5,"2019"
"314WUB","Adeudos",NA,5,"2020"
"314WUB","Adeudos",NA,5,"2021"
"314WUE","Adeudos",NA,6,"2016"
"314WUE","Adeudos",NA,6,"2017"
"314WUE","Adeudos",NA,6,"2018"
"314WUE","Adeudos",NA,6,"2019"
"314WUE","Adeudos",NA,6,"2020"
"314WUE","Adeudos",NA,6,"2021"
"314WUF","Adeudos",NA,6,"2016"
"314WUF","Adeudos",NA,6,"2017"
"314WUF","Adeudos",NA,6,"2018"
"314WUF","Adeudos",NA,6,"2019"
"314WUF","Adeudos",NA,6,"2020"
"314WUF","Adeudos",NA,6,"2021"
"314WUK","Adeudos",NA,3,"2019"
"314WUK","Adeudos",NA,3,"2020"
"314WUK","Adeudos",NA,3,"2021"
"314WUM","Adeudos",NA,6,"2016"
"314WUM","Adeudos",NA,6,"2017"
"314WUM","Adeudos",NA,6,"2018"
"314WUM","Adeudos",NA,6,"2019"
"314WUM","Adeudos",NA,6,"2020"
"314WUM","Adeudos",NA,6,"2021"
"314WUN","Vehiculo reportado por Fiscalizacion y no puede verificar",NA,0,"0"
"314WUS","Adeudos",NA,2,"2020"
"314WUS","Adeudos",NA,2,"2021"
"314WUT","Cuenta con Placa Anterior y Adeudos","313RFL",7,"2014"
"314WUT","Cuenta con Placa Anterior y Adeudos","313RFL",7,"2015"
"314WUT","Cuenta con Placa Anterior y Adeudos","313RFL",7,"2017"
"314WUT","Cuenta con Placa Anterior y Adeudos","313RFL",7,"2018"
"314WUT","Cuenta con Placa Anterior y Adeudos","313RFL",7,"2019"
"314WUT","Cuenta con Placa Anterior y Adeudos","313RFL",7,"2020"
"314WUT","Cuenta con Placa Anterior y Adeudos","313RFL",7,"2021"
"314WUU","Sin adeudos",NA,0,"0"
"314WUV","Adeudos",NA,4,"2018"
"314WUV","Adeudos",NA,4,"2019"
"314WUV","Adeudos",NA,4,"2020"
"314WUV","Adeudos",NA,4,"2021"
"314WUW","Sin adeudos",NA,0,"0"
"314WUY","Adeudos",NA,2,"2020"
"314WUY","Adeudos",NA,2,"2021"
"314WVD","Sin adeudos",NA,0,"0"
"314WVF","Adeudos",NA,5,"2017"
"314WVF","Adeudos",NA,5,"2018"
"314WVF","Adeudos",NA,5,"2019"
"314WVF","Adeudos",NA,5,"2020"
"314WVF","Adeudos",NA,5,"2021"
"314WVG","Sin adeudos",NA,0,"0"
"314WVH","Sin adeudos",NA,0,"0"
"314WVK","Sin adeudos",NA,0,"0"
"314WVL","Adeudos",NA,5,"2017"
"314WVL","Adeudos",NA,5,"2018"
"314WVL","Adeudos",NA,5,"2019"
"314WVL","Adeudos",NA,5,"2020"
"314WVL","Adeudos",NA,5,"2021"
"314WVM","Adeudos",NA,4,"2018"
"314WVM","Adeudos",NA,4,"2019"
"314WVM","Adeudos",NA,4,"2020"
"314WVM","Adeudos",NA,4,"2021"
"314WVP","Adeudos",NA,3,"2019"
"314WVP","Adeudos",NA,3,"2020"
"314WVP","Adeudos",NA,3,"2021"
"314WVR","Adeudos",NA,3,"2019"
"314WVR","Adeudos",NA,3,"2020"
"314WVR","Adeudos",NA,3,"2021"
"314WVU","Adeudos",NA,5,"2017"
"314WVU","Adeudos",NA,5,"2018"
"314WVU","Adeudos",NA,5,"2019"
"314WVU","Adeudos",NA,5,"2020"
"314WVU","Adeudos",NA,5,"2021"
"314WVV","Sin adeudos",NA,0,"0"
"314WVW","El número de placa no se localizó en el padrón",NA,0,"0"
"314WVX","Cuenta con Placa Anterior y Sin adeudos","468LYU",0,"0"
"314WVY","Sin adeudos",NA,0,"0"
"314WVZ","Cuenta con Placa Anterior y Adeudos","894ULU",4,"2018"
"314WVZ","Cuenta con Placa Anterior y Adeudos","894ULU",4,"2019"
"314WVZ","Cuenta con Placa Anterior y Adeudos","894ULU",4,"2020"
"314WVZ","Cuenta con Placa Anterior y Adeudos","894ULU",4,"2021"
"314WWC","Adeudos",NA,5,"2017"
"314WWC","Adeudos",NA,5,"2018"
