"placa","estatus","placa_anterior","years_adeudos","years"
"316VLN","Adeudos",NA,6,"2021"
"316VLP","Cuenta con Placa Anterior y Adeudos","768TAH",3,"2018"
"316VLP","Cuenta con Placa Anterior y Adeudos","768TAH",3,"2020"
"316VLP","Cuenta con Placa Anterior y Adeudos","768TAH",3,"2021"
"316VLT","Adeudos",NA,7,"2014"
"316VLT","Adeudos",NA,7,"2015"
"316VLT","Adeudos",NA,7,"2016"
"316VLT","Adeudos",NA,7,"2017"
"316VLT","Adeudos",NA,7,"2018"
"316VLT","Adeudos",NA,7,"2020"
"316VLT","Adeudos",NA,7,"2021"
"316VLU","Adeudos",NA,1,"2021"
"316VLV","Adeudos",NA,6,"2016"
"316VLV","Adeudos",NA,6,"2017"
"316VLV","Adeudos",NA,6,"2018"
"316VLV","Adeudos",NA,6,"2019"
"316VLV","Adeudos",NA,6,"2020"
"316VLV","Adeudos",NA,6,"2021"
"316VLW","Adeudos",NA,6,"2016"
"316VLW","Adeudos",NA,6,"2017"
"316VLW","Adeudos",NA,6,"2018"
"316VLW","Adeudos",NA,6,"2019"
"316VLW","Adeudos",NA,6,"2020"
"316VLW","Adeudos",NA,6,"2021"
"316VMA","Adeudos",NA,6,"2016"
"316VMA","Adeudos",NA,6,"2017"
"316VMA","Adeudos",NA,6,"2018"
"316VMA","Adeudos",NA,6,"2019"
"316VMA","Adeudos",NA,6,"2020"
"316VMA","Adeudos",NA,6,"2021"
"316VMF","Adeudos",NA,3,"2019"
"316VMF","Adeudos",NA,3,"2020"
"316VMF","Adeudos",NA,3,"2021"
"316VMH","Sin adeudos",NA,0,"0"
"316VMK","Sin adeudos",NA,0,"0"
"316VMR","Adeudos",NA,3,"2019"
"316VMR","Adeudos",NA,3,"2020"
"316VMR","Adeudos",NA,3,"2021"
"316VMS","Sin adeudos",NA,0,"0"
"316VMU","Adeudos",NA,6,"2016"
"316VMU","Adeudos",NA,6,"2017"
"316VMU","Adeudos",NA,6,"2018"
"316VMU","Adeudos",NA,6,"2019"
"316VMU","Adeudos",NA,6,"2020"
"316VMU","Adeudos",NA,6,"2021"
"316VMW","Adeudos",NA,4,"2014"
"316VMW","Adeudos",NA,4,"2019"
"316VMW","Adeudos",NA,4,"2020"
"316VMW","Adeudos",NA,4,"2021"
"316VNA","Sin adeudos",NA,0,"0"
"316VNN","Adeudos",NA,3,"2019"
"316VNN","Adeudos",NA,3,"2020"
"316VNN","Adeudos",NA,3,"2021"
"316VNP","Cuenta con Placa Anterior y Adeudos","316VNP",3,"2019"
"316VNP","Cuenta con Placa Anterior y Adeudos","316VNP",3,"2020"
"316VNP","Cuenta con Placa Anterior y Adeudos","316VNP",3,"2021"
"316VNU","Adeudos",NA,2,"2020"
"316VNU","Adeudos",NA,2,"2021"
"316VNV","Adeudos",NA,5,"2017"
"316VNV","Adeudos",NA,5,"2018"
"316VNV","Adeudos",NA,5,"2019"
"316VNV","Adeudos",NA,5,"2020"
"316VNV","Adeudos",NA,5,"2021"
"316VPB","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"316VPC","Sin adeudos",NA,0,"0"
"316VPE","Adeudos",NA,3,"2019"
"316VPE","Adeudos",NA,3,"2020"
"316VPE","Adeudos",NA,3,"2021"
"316VPF","Adeudos",NA,8,"2014"
"316VPF","Adeudos",NA,8,"2015"
"316VPF","Adeudos",NA,8,"2016"
"316VPF","Adeudos",NA,8,"2017"
"316VPF","Adeudos",NA,8,"2018"
"316VPF","Adeudos",NA,8,"2019"
"316VPF","Adeudos",NA,8,"2020"
"316VPF","Adeudos",NA,8,"2021"
"316VPL","Adeudos",NA,6,"2016"
"316VPL","Adeudos",NA,6,"2017"
"316VPL","Adeudos",NA,6,"2018"
"316VPL","Adeudos",NA,6,"2019"
"316VPL","Adeudos",NA,6,"2020"
"316VPL","Adeudos",NA,6,"2021"
"316VPN","Sin adeudos",NA,0,"0"
"316VPW","Adeudos",NA,5,"2017"
"316VPW","Adeudos",NA,5,"2018"
"316VPW","Adeudos",NA,5,"2019"
"316VPW","Adeudos",NA,5,"2020"
"316VPW","Adeudos",NA,5,"2021"
"316VPX","Sin adeudos",NA,0,"0"
"316VPY","Adeudos",NA,5,"2017"
"316VPY","Adeudos",NA,5,"2018"
"316VPY","Adeudos",NA,5,"2019"
"316VPY","Adeudos",NA,5,"2020"
"316VPY","Adeudos",NA,5,"2021"
"316VRC","Adeudos",NA,2,"2020"
"316VRC","Adeudos",NA,2,"2021"
"316VRD","Cuenta con Placa Anterior y Sin adeudos","316VRD",0,"0"
"316VRE","Adeudos",NA,5,"2017"
"316VRE","Adeudos",NA,5,"2018"
"316VRE","Adeudos",NA,5,"2019"
"316VRE","Adeudos",NA,5,"2020"
"316VRE","Adeudos",NA,5,"2021"
"316VRL","Adeudos",NA,6,"2016"
"316VRL","Adeudos",NA,6,"2017"
"316VRL","Adeudos",NA,6,"2018"
"316VRL","Adeudos",NA,6,"2019"
"316VRL","Adeudos",NA,6,"2020"
"316VRL","Adeudos",NA,6,"2021"
"316VRM","Adeudos",NA,1,"2021"
"316VRW","Adeudos",NA,5,"2017"
"316VRW","Adeudos",NA,5,"2018"
"316VRW","Adeudos",NA,5,"2019"
"316VRW","Adeudos",NA,5,"2020"
"316VRW","Adeudos",NA,5,"2021"
"316VSJ","Adeudos",NA,3,"2019"
"316VSJ","Adeudos",NA,3,"2020"
"316VSJ","Adeudos",NA,3,"2021"
"316VSM","Cuenta con Placa Anterior y Adeudos","385SSY",5,"2017"
"316VSM","Cuenta con Placa Anterior y Adeudos","385SSY",5,"2018"
"316VSM","Cuenta con Placa Anterior y Adeudos","385SSY",5,"2019"
"316VSM","Cuenta con Placa Anterior y Adeudos","385SSY",5,"2020"
"316VSM","Cuenta con Placa Anterior y Adeudos","385SSY",5,"2021"
"316VSP","Adeudos",NA,2,"2020"
"316VSP","Adeudos",NA,2,"2021"
"316VST","Sin adeudos",NA,0,"0"
"316VSU","Sin adeudos",NA,0,"0"
"316VSV","Adeudos",NA,5,"2017"
"316VSV","Adeudos",NA,5,"2018"
"316VSV","Adeudos",NA,5,"2019"
"316VSV","Adeudos",NA,5,"2020"
"316VSV","Adeudos",NA,5,"2021"
"316VSW","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"316VSX","Sin adeudos",NA,0,"0"
"316VSZ","Cuenta con Placa Anterior y Adeudos","352RNW",5,"2017"
"316VSZ","Cuenta con Placa Anterior y Adeudos","352RNW",5,"2018"
"316VSZ","Cuenta con Placa Anterior y Adeudos","352RNW",5,"2019"
"316VSZ","Cuenta con Placa Anterior y Adeudos","352RNW",5,"2020"
"316VSZ","Cuenta con Placa Anterior y Adeudos","352RNW",5,"2021"
"316VTD","Adeudos",NA,5,"2017"
"316VTD","Adeudos",NA,5,"2018"
"316VTD","Adeudos",NA,5,"2019"
"316VTD","Adeudos",NA,5,"2020"
"316VTD","Adeudos",NA,5,"2021"
"316VTG","Adeudos",NA,3,"2019"
"316VTG","Adeudos",NA,3,"2020"
"316VTG","Adeudos",NA,3,"2021"
"316VTJ","Adeudos",NA,5,"2017"
"316VTJ","Adeudos",NA,5,"2018"
"316VTJ","Adeudos",NA,5,"2019"
"316VTJ","Adeudos",NA,5,"2020"
"316VTJ","Adeudos",NA,5,"2021"
"316VTP","Adeudos",NA,3,"2019"
"316VTP","Adeudos",NA,3,"2020"
"316VTP","Adeudos",NA,3,"2021"
"316VTR","Sin adeudos",NA,0,"0"
"316VTS","Adeudos",NA,5,"2017"
"316VTS","Adeudos",NA,5,"2018"
"316VTS","Adeudos",NA,5,"2019"
"316VTS","Adeudos",NA,5,"2020"
"316VTS","Adeudos",NA,5,"2021"
"316VTU","Adeudos",NA,6,"2016"
"316VTU","Adeudos",NA,6,"2017"
"316VTU","Adeudos",NA,6,"2018"
"316VTU","Adeudos",NA,6,"2019"
"316VTU","Adeudos",NA,6,"2020"
"316VTU","Adeudos",NA,6,"2021"
"316VTW","Adeudos",NA,6,"2016"
"316VTW","Adeudos",NA,6,"2017"
"316VTW","Adeudos",NA,6,"2018"
"316VTW","Adeudos",NA,6,"2019"
"316VTW","Adeudos",NA,6,"2020"
"316VTW","Adeudos",NA,6,"2021"
"316VTX","Sin adeudos",NA,0,"0"
"316VTZ","Adeudos",NA,4,"2018"
"316VTZ","Adeudos",NA,4,"2019"
"316VTZ","Adeudos",NA,4,"2020"
"316VTZ","Adeudos",NA,4,"2021"
"316VUG","Adeudos",NA,5,"2017"
"316VUG","Adeudos",NA,5,"2018"
"316VUG","Adeudos",NA,5,"2019"
"316VUG","Adeudos",NA,5,"2020"
"316VUG","Adeudos",NA,5,"2021"
"316VUK","Adeudos",NA,6,"2016"
"316VUK","Adeudos",NA,6,"2017"
"316VUK","Adeudos",NA,6,"2018"
"316VUK","Adeudos",NA,6,"2019"
"316VUK","Adeudos",NA,6,"2020"
"316VUK","Adeudos",NA,6,"2021"
"316VUL","Adeudos",NA,3,"2019"
"316VUL","Adeudos",NA,3,"2020"
"316VUL","Adeudos",NA,3,"2021"
"316VUP","Adeudos",NA,4,"2018"
"316VUP","Adeudos",NA,4,"2019"
"316VUP","Adeudos",NA,4,"2020"
"316VUP","Adeudos",NA,4,"2021"
"316VUS","Sin adeudos",NA,0,"0"
"316VUU","Adeudos",NA,6,"2016"
"316VUU","Adeudos",NA,6,"2017"
"316VUU","Adeudos",NA,6,"2018"
"316VUU","Adeudos",NA,6,"2019"
"316VUU","Adeudos",NA,6,"2020"
"316VUU","Adeudos",NA,6,"2021"
"316VUV","Adeudos",NA,5,"2017"
"316VUV","Adeudos",NA,5,"2018"
"316VUV","Adeudos",NA,5,"2019"
"316VUV","Adeudos",NA,5,"2020"
"316VUV","Adeudos",NA,5,"2021"
"316VUW","Sin adeudos",NA,0,"0"
"317YWL","Adeudos",NA,5,"2017"
"317YWL","Adeudos",NA,5,"2018"
"317YWL","Adeudos",NA,5,"2019"
"317YWL","Adeudos",NA,5,"2020"
"317YWL","Adeudos",NA,5,"2021"
"318SVF","Adeudos",NA,5,"2017"
"318SVF","Adeudos",NA,5,"2018"
"318SVF","Adeudos",NA,5,"2019"
"318SVF","Adeudos",NA,5,"2020"
"318SVF","Adeudos",NA,5,"2021"
"318SVH","Sin adeudos",NA,0,"0"
"318SVL","Adeudos",NA,6,"2016"
"318SVL","Adeudos",NA,6,"2017"
"318SVL","Adeudos",NA,6,"2018"
"318SVL","Adeudos",NA,6,"2019"
"318SVL","Adeudos",NA,6,"2020"
"318SVL","Adeudos",NA,6,"2021"
"318SVZ","Sin adeudos",NA,0,"0"
"318SWD","Adeudos",NA,5,"2017"
"318SWD","Adeudos",NA,5,"2018"
"318SWD","Adeudos",NA,5,"2019"
"318SWD","Adeudos",NA,5,"2020"
"318SWD","Adeudos",NA,5,"2021"
"318SWP","Adeudos",NA,5,"2017"
"318SWP","Adeudos",NA,5,"2018"
"318SWP","Adeudos",NA,5,"2019"
"318SWP","Adeudos",NA,5,"2020"
"318SWP","Adeudos",NA,5,"2021"
"318SWS","Adeudos",NA,5,"2017"
"318SWS","Adeudos",NA,5,"2018"
"318SWS","Adeudos",NA,5,"2019"
"318SWS","Adeudos",NA,5,"2020"
"318SWS","Adeudos",NA,5,"2021"
"318SWU","Adeudos",NA,1,"2021"
"318SX","Adeudos",NA,6,"2016"
"318SX","Adeudos",NA,6,"2017"
"318SX","Adeudos",NA,6,"2018"
"318SX","Adeudos",NA,6,"2019"
"318SX","Adeudos",NA,6,"2020"
"318SX","Adeudos",NA,6,"2021"
"318SXA","Adeudos",NA,6,"2016"
"318SXA","Adeudos",NA,6,"2017"
"318SXA","Adeudos",NA,6,"2018"
"318SXA","Adeudos",NA,6,"2019"
"318SXA","Adeudos",NA,6,"2020"
"318SXA","Adeudos",NA,6,"2021"
"318SXB","Adeudos",NA,5,"2017"
"318SXB","Adeudos",NA,5,"2018"
"318SXB","Adeudos",NA,5,"2019"
"318SXB","Adeudos",NA,5,"2020"
"318SXB","Adeudos",NA,5,"2021"
"318SXH","Adeudos",NA,5,"2017"
"318SXH","Adeudos",NA,5,"2018"
"318SXH","Adeudos",NA,5,"2019"
"318SXH","Adeudos",NA,5,"2020"
"318SXH","Adeudos",NA,5,"2021"
"318SXK","Adeudos",NA,3,"2019"
"318SXK","Adeudos",NA,3,"2020"
"318SXK","Adeudos",NA,3,"2021"
"318SXR","Adeudos",NA,2,"2020"
"318SXR","Adeudos",NA,2,"2021"
"318SXY","Sin adeudos",NA,0,"0"
"318SYB","Adeudos",NA,6,"2016"
"318SYB","Adeudos",NA,6,"2017"
"318SYB","Adeudos",NA,6,"2018"
"318SYB","Adeudos",NA,6,"2019"
"318SYB","Adeudos",NA,6,"2020"
"318SYB","Adeudos",NA,6,"2021"
"318SYF","Sin adeudos",NA,0,"0"
"318SYK","Sin adeudos",NA,0,"0"
"318SZA","Adeudos",NA,6,"2016"
"318SZA","Adeudos",NA,6,"2017"
"318SZA","Adeudos",NA,6,"2018"
"318SZA","Adeudos",NA,6,"2019"
"318SZA","Adeudos",NA,6,"2020"
"318SZA","Adeudos",NA,6,"2021"
"318SZG","Adeudos",NA,6,"2016"
"318SZG","Adeudos",NA,6,"2017"
"318SZG","Adeudos",NA,6,"2018"
"318SZG","Adeudos",NA,6,"2019"
"318SZG","Adeudos",NA,6,"2020"
"318SZG","Adeudos",NA,6,"2021"
"318SZH","Cuenta con Placa Anterior y Sin adeudos","802LML",0,"0"
"318SZK","Adeudos",NA,5,"2017"
"318SZK","Adeudos",NA,5,"2018"
"318SZK","Adeudos",NA,5,"2019"
"318SZK","Adeudos",NA,5,"2020"
"318SZK","Adeudos",NA,5,"2021"
"318SZP","Sin adeudos",NA,0,"0"
"318SZX","Adeudos",NA,6,"2016"
"318SZX","Adeudos",NA,6,"2017"
"318SZX","Adeudos",NA,6,"2018"
"318SZX","Adeudos",NA,6,"2019"
"318SZX","Adeudos",NA,6,"2020"
"318SZX","Adeudos",NA,6,"2021"
"318TAB","Adeudos",NA,3,"2019"
"318TAB","Adeudos",NA,3,"2020"
"318TAB","Adeudos",NA,3,"2021"
"318TAG","Sin adeudos",NA,0,"0"
"318TAL","Adeudos",NA,5,"2017"
"318TAL","Adeudos",NA,5,"2018"
"318TAL","Adeudos",NA,5,"2019"
"318TAL","Adeudos",NA,5,"2020"
"318TAL","Adeudos",NA,5,"2021"
"318TB","Cuenta con Placa Anterior y Sin adeudos","318TB",0,"0"
"318TBA","Sin adeudos",NA,0,"0"
"318TBF","Adeudos",NA,4,"2018"
"318TBF","Adeudos",NA,4,"2019"
"318TBF","Adeudos",NA,4,"2020"
"318TBF","Adeudos",NA,4,"2021"
"318TBK","Sin adeudos",NA,0,"0"
"318TBP","Adeudos",NA,6,"2016"
"318TBP","Adeudos",NA,6,"2017"
"318TBP","Adeudos",NA,6,"2018"
"318TBP","Adeudos",NA,6,"2019"
"318TBP","Adeudos",NA,6,"2020"
"318TBP","Adeudos",NA,6,"2021"
"318TBX","Adeudos",NA,5,"2017"
"318TBX","Adeudos",NA,5,"2018"
"318TBX","Adeudos",NA,5,"2019"
"318TBX","Adeudos",NA,5,"2020"
"318TBX","Adeudos",NA,5,"2021"
"318TBY","Sin adeudos",NA,0,"0"
"318TCD","Sin adeudos",NA,0,"0"
"318TCF","Sin adeudos",NA,0,"0"
"318TCH","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"318TCZ","Adeudos",NA,5,"2017"
"318TCZ","Adeudos",NA,5,"2018"
"318TCZ","Adeudos",NA,5,"2019"
"318TCZ","Adeudos",NA,5,"2020"
"318TCZ","Adeudos",NA,5,"2021"
"318TD","Cuenta con Placa Anterior y Adeudos","346TEA",1,"2021"
"318TDC","Adeudos",NA,1,"2021"
"318TDD","Adeudos",NA,5,"2017"
"318TDD","Adeudos",NA,5,"2018"
"318TDD","Adeudos",NA,5,"2019"
"318TDD","Adeudos",NA,5,"2020"
"318TDD","Adeudos",NA,5,"2021"
"318TDE","Sin adeudos",NA,0,"0"
"318TDG","Adeudos",NA,6,"2016"
"318TDG","Adeudos",NA,6,"2017"
"318TDG","Adeudos",NA,6,"2018"
"318TDG","Adeudos",NA,6,"2019"
"318TDG","Adeudos",NA,6,"2020"
"318TDG","Adeudos",NA,6,"2021"
"318TDK","Sin adeudos",NA,0,"0"
"318TDP","Adeudos",NA,3,"2019"
"318TDP","Adeudos",NA,3,"2020"
"318TDP","Adeudos",NA,3,"2021"
"318TDR","Adeudos",NA,7,"2014"
"318TDR","Adeudos",NA,7,"2015"
"318TDR","Adeudos",NA,7,"2016"
"318TDR","Adeudos",NA,7,"2017"
"318TDR","Adeudos",NA,7,"2018"
"318TDR","Adeudos",NA,7,"2019"
"318TDR","Adeudos",NA,7,"2020"
"318TDV","Sin adeudos",NA,0,"0"
"318TDZ","Adeudos",NA,2,"2020"
"318TDZ","Adeudos",NA,2,"2021"
"318TEA","Adeudos",NA,5,"2017"
"318TEA","Adeudos",NA,5,"2018"
"318TEA","Adeudos",NA,5,"2019"
"318TEA","Adeudos",NA,5,"2020"
"318TEA","Adeudos",NA,5,"2021"
"318TEB","Adeudos",NA,5,"2017"
"318TEB","Adeudos",NA,5,"2018"
"318TEB","Adeudos",NA,5,"2019"
"318TEB","Adeudos",NA,5,"2020"
"318TEB","Adeudos",NA,5,"2021"
"318TEG","Adeudos",NA,3,"2019"
"318TEG","Adeudos",NA,3,"2020"
"318TEG","Adeudos",NA,3,"2021"
"318TER","Sin adeudos",NA,0,"0"
"318TF","Cuenta con Placa Anterior y Sin adeudos","500TAK",0,"0"
"318TFD","Adeudos",NA,2,"2020"
"318TFD","Adeudos",NA,2,"2021"
"318TFJ","Sin adeudos",NA,0,"0"
"318TFM","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"318TFN","Adeudos",NA,2,"2020"
"318TFN","Adeudos",NA,2,"2021"
"318TFV","Sin adeudos",NA,0,"0"
"318TFX","Sin adeudos",NA,0,"0"
"318TG","Cuenta con Placa Anterior y Adeudos","642WWA",2,"2020"
"318TG","Cuenta con Placa Anterior y Adeudos","642WWA",2,"2021"
"318TGG","Sin adeudos",NA,0,"0"
"318TGP","Adeudos",NA,6,"2016"
"318TGP","Adeudos",NA,6,"2017"
"318TGP","Adeudos",NA,6,"2018"
"318TGP","Adeudos",NA,6,"2019"
"318TGP","Adeudos",NA,6,"2020"
"318TGP","Adeudos",NA,6,"2021"
"318TGS","Adeudos",NA,5,"2017"
"318TGS","Adeudos",NA,5,"2018"
"318TGS","Adeudos",NA,5,"2019"
"318TGS","Adeudos",NA,5,"2020"
"318TGS","Adeudos",NA,5,"2021"
"318TGU","Adeudos",NA,4,"2018"
"318TGU","Adeudos",NA,4,"2019"
"318TGU","Adeudos",NA,4,"2020"
"318TGU","Adeudos",NA,4,"2021"
"318TGV","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"318TGW","Adeudos",NA,4,"2018"
"318TGW","Adeudos",NA,4,"2019"
"318TGW","Adeudos",NA,4,"2020"
"318TGW","Adeudos",NA,4,"2021"
"318TH","Cuenta con Placa Anterior y Sin adeudos","490UFL",0,"0"
"318THB","Sin adeudos",NA,0,"0"
"318THF","Cuenta con Placa Anterior y Adeudos","318THF",1,"2021"
"318THK","Adeudos",NA,6,"2016"
"318THK","Adeudos",NA,6,"2017"
"318THK","Adeudos",NA,6,"2018"
"318THK","Adeudos",NA,6,"2019"
"318THK","Adeudos",NA,6,"2020"
"318THK","Adeudos",NA,6,"2021"
"318THU","Sin adeudos",NA,0,"0"
"318THW","Adeudos",NA,3,"2019"
"318THW","Adeudos",NA,3,"2020"
"318THW","Adeudos",NA,3,"2021"
"318THX","Adeudos",NA,4,"2018"
"318THX","Adeudos",NA,4,"2019"
"318THX","Adeudos",NA,4,"2020"
"318THX","Adeudos",NA,4,"2021"
"318THY","Adeudos",NA,3,"2019"
"318THY","Adeudos",NA,3,"2020"
"318THY","Adeudos",NA,3,"2021"
"318THZ","Sin adeudos",NA,0,"0"
"318TJ","Cuenta con Placa Anterior y Adeudos","597LYH",2,"2020"
"318TJ","Cuenta con Placa Anterior y Adeudos","597LYH",2,"2021"
"318TJB","Adeudos",NA,4,"2018"
"318TJB","Adeudos",NA,4,"2019"
"318TJB","Adeudos",NA,4,"2020"
"318TJB","Adeudos",NA,4,"2021"
"318TJC","Adeudos",NA,5,"2017"
"318TJC","Adeudos",NA,5,"2018"
"318TJC","Adeudos",NA,5,"2019"
"318TJC","Adeudos",NA,5,"2020"
"318TJC","Adeudos",NA,5,"2021"
"318TJE","Adeudos",NA,6,"2016"
"318TJE","Adeudos",NA,6,"2017"
"318TJE","Adeudos",NA,6,"2018"
"318TJE","Adeudos",NA,6,"2019"
"318TJE","Adeudos",NA,6,"2020"
"318TJE","Adeudos",NA,6,"2021"
"318TJG","Adeudos",NA,2,"2020"
"318TJG","Adeudos",NA,2,"2021"
"318TJH","Adeudos",NA,1,"2021"
"318TJN","Adeudos",NA,7,"2015"
"318TJN","Adeudos",NA,7,"2016"
"318TJN","Adeudos",NA,7,"2017"
"318TJN","Adeudos",NA,7,"2018"
"318TJN","Adeudos",NA,7,"2019"
"318TJN","Adeudos",NA,7,"2020"
"318TJN","Adeudos",NA,7,"2021"
"318TJV","Adeudos",NA,4,"2018"
"318TJV","Adeudos",NA,4,"2019"
"318TJV","Adeudos",NA,4,"2020"
"318TJV","Adeudos",NA,4,"2021"
"318TK","Cuenta con Placa Anterior y Sin adeudos","384SVZ",0,"0"
"318TKH","Adeudos",NA,3,"2019"
"318TKH","Adeudos",NA,3,"2020"
"318TKH","Adeudos",NA,3,"2021"
"318TKK","Adeudos",NA,1,"2021"
"318TKM","Adeudos",NA,6,"2016"
"318TKM","Adeudos",NA,6,"2017"
"318TKM","Adeudos",NA,6,"2018"
"318TKM","Adeudos",NA,6,"2019"
"318TKM","Adeudos",NA,6,"2020"
"318TKM","Adeudos",NA,6,"2021"
"318TKT","Adeudos",NA,5,"2017"
"318TKT","Adeudos",NA,5,"2018"
"318TKT","Adeudos",NA,5,"2019"
"318TKT","Adeudos",NA,5,"2020"
"318TKT","Adeudos",NA,5,"2021"
"318TL","Cuenta con Placa Anterior y Adeudos","380PPW",4,"2018"
"318TL","Cuenta con Placa Anterior y Adeudos","380PPW",4,"2019"
"318TL","Cuenta con Placa Anterior y Adeudos","380PPW",4,"2020"
"318TL","Cuenta con Placa Anterior y Adeudos","380PPW",4,"2021"
"318TLA","Adeudos",NA,3,"2019"
"318TLA","Adeudos",NA,3,"2020"
"318TLA","Adeudos",NA,3,"2021"
"318TLC","Sin adeudos",NA,0,"0"
"318TLL","Adeudos",NA,5,"2017"
"318TLL","Adeudos",NA,5,"2018"
"318TLL","Adeudos",NA,5,"2019"
"318TLL","Adeudos",NA,5,"2020"
"318TLL","Adeudos",NA,5,"2021"
"318TLM","Adeudos",NA,6,"2016"
"318TLM","Adeudos",NA,6,"2017"
"318TLM","Adeudos",NA,6,"2018"
"318TLM","Adeudos",NA,6,"2019"
"318TLM","Adeudos",NA,6,"2020"
"318TLM","Adeudos",NA,6,"2021"
"318TLP","Adeudos",NA,5,"2017"
"318TLP","Adeudos",NA,5,"2018"
"318TLP","Adeudos",NA,5,"2019"
"318TLP","Adeudos",NA,5,"2020"
"318TLP","Adeudos",NA,5,"2021"
"318TLS","Adeudos",NA,5,"2017"
"318TLS","Adeudos",NA,5,"2018"
"318TLS","Adeudos",NA,5,"2019"
"318TLS","Adeudos",NA,5,"2020"
"318TLS","Adeudos",NA,5,"2021"
"318TLT","Adeudos",NA,2,"2020"
"318TLT","Adeudos",NA,2,"2021"
"318TLX","Sin adeudos",NA,0,"0"
"318TLZ","Sin adeudos",NA,0,"0"
