"placa","estatus","placa_anterior","years_adeudos","years"
"322WPX","Adeudos",NA,5,"2020"
"322WPX","Adeudos",NA,5,"2021"
"322WPY","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322WPZ","Sin adeudos",NA,0,"0"
"322WRC","Adeudos",NA,1,"2021"
"322WRE","Adeudos",NA,6,"2016"
"322WRE","Adeudos",NA,6,"2017"
"322WRE","Adeudos",NA,6,"2018"
"322WRE","Adeudos",NA,6,"2019"
"322WRE","Adeudos",NA,6,"2020"
"322WRE","Adeudos",NA,6,"2021"
"322WRH","Adeudos",NA,5,"2017"
"322WRH","Adeudos",NA,5,"2018"
"322WRH","Adeudos",NA,5,"2019"
"322WRH","Adeudos",NA,5,"2020"
"322WRH","Adeudos",NA,5,"2021"
"322WRJ","Sin adeudos",NA,0,"0"
"322WRK","Adeudos",NA,3,"2019"
"322WRK","Adeudos",NA,3,"2020"
"322WRK","Adeudos",NA,3,"2021"
"322WRL","Cuenta con Placa Anterior y Adeudos","322WRL",2,"2020"
"322WRL","Cuenta con Placa Anterior y Adeudos","322WRL",2,"2021"
"322WRP","Cuenta con Placa Anterior y Adeudos","565WNZ",5,"2017"
"322WRP","Cuenta con Placa Anterior y Adeudos","565WNZ",5,"2018"
"322WRP","Cuenta con Placa Anterior y Adeudos","565WNZ",5,"2019"
"322WRP","Cuenta con Placa Anterior y Adeudos","565WNZ",5,"2020"
"322WRP","Cuenta con Placa Anterior y Adeudos","565WNZ",5,"2021"
"322WRR","Adeudos",NA,5,"2017"
"322WRR","Adeudos",NA,5,"2018"
"322WRR","Adeudos",NA,5,"2019"
"322WRR","Adeudos",NA,5,"2020"
"322WRR","Adeudos",NA,5,"2021"
"322WRT","Sin adeudos",NA,0,"0"
"322WRX","Sin adeudos",NA,0,"0"
"322WSA","Sin adeudos",NA,0,"0"
"322WSB","Adeudos",NA,6,"2016"
"322WSB","Adeudos",NA,6,"2017"
"322WSB","Adeudos",NA,6,"2018"
"322WSB","Adeudos",NA,6,"2019"
"322WSB","Adeudos",NA,6,"2020"
"322WSB","Adeudos",NA,6,"2021"
"322WSG","Adeudos",NA,4,"2018"
"322WSG","Adeudos",NA,4,"2019"
"322WSG","Adeudos",NA,4,"2020"
"322WSG","Adeudos",NA,4,"2021"
"322WSH","Adeudos",NA,2,"2020"
"322WSH","Adeudos",NA,2,"2021"
"322WSL","Adeudos",NA,6,"2016"
"322WSL","Adeudos",NA,6,"2017"
"322WSL","Adeudos",NA,6,"2018"
"322WSL","Adeudos",NA,6,"2019"
"322WSL","Adeudos",NA,6,"2020"
"322WSL","Adeudos",NA,6,"2021"
"322WSM","Sin adeudos",NA,0,"0"
"322WSN","Adeudos",NA,2,"2020"
"322WSN","Adeudos",NA,2,"2021"
"322WSR","Sin adeudos",NA,0,"0"
"322WSS","Sin adeudos",NA,0,"0"
"322WSW","Sin adeudos",NA,0,"0"
"322WSY","Adeudos",NA,5,"2017"
"322WSY","Adeudos",NA,5,"2018"
"322WSY","Adeudos",NA,5,"2019"
"322WSY","Adeudos",NA,5,"2020"
"322WSY","Adeudos",NA,5,"2021"
"322WTA","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322WTB","Sin adeudos",NA,0,"0"
"322WTE","Adeudos",NA,6,"2016"
"322WTE","Adeudos",NA,6,"2017"
"322WTE","Adeudos",NA,6,"2018"
"322WTE","Adeudos",NA,6,"2019"
"322WTE","Adeudos",NA,6,"2020"
"322WTE","Adeudos",NA,6,"2021"
"322WTF","Cuenta con Placa Anterior y Sin adeudos","854MPG",0,"0"
"322WTK","Adeudos",NA,3,"2019"
"322WTK","Adeudos",NA,3,"2020"
"322WTK","Adeudos",NA,3,"2021"
"322WTL","Adeudos",NA,2,"2020"
"322WTL","Adeudos",NA,2,"2021"
"322WTN","Sin adeudos",NA,0,"0"
"322WTP","Adeudos",NA,5,"2017"
"322WTP","Adeudos",NA,5,"2018"
"322WTP","Adeudos",NA,5,"2019"
"322WTP","Adeudos",NA,5,"2020"
"322WTP","Adeudos",NA,5,"2021"
"322WTR","Sin adeudos",NA,0,"0"
"322WTU","Cuenta con Placa Anterior y Sin adeudos","322WTU",0,"0"
"322WTV","Adeudos",NA,5,"2017"
"322WTV","Adeudos",NA,5,"2018"
"322WTV","Adeudos",NA,5,"2019"
"322WTV","Adeudos",NA,5,"2020"
"322WTV","Adeudos",NA,5,"2021"
"322WTY","Sin adeudos",NA,0,"0"
"322WTZ","Sin adeudos",NA,0,"0"
"322WUA","Adeudos",NA,4,"2018"
"322WUA","Adeudos",NA,4,"2019"
"322WUA","Adeudos",NA,4,"2020"
"322WUA","Adeudos",NA,4,"2021"
"322WUD","Cuenta con Placa Anterior y Adeudos","356RRX",5,"2017"
"322WUD","Cuenta con Placa Anterior y Adeudos","356RRX",5,"2018"
"322WUD","Cuenta con Placa Anterior y Adeudos","356RRX",5,"2019"
"322WUD","Cuenta con Placa Anterior y Adeudos","356RRX",5,"2020"
"322WUD","Cuenta con Placa Anterior y Adeudos","356RRX",5,"2021"
"322WUG","Adeudos",NA,7,"2014"
"322WUG","Adeudos",NA,7,"2015"
"322WUG","Adeudos",NA,7,"2016"
"322WUG","Adeudos",NA,7,"2018"
"322WUG","Adeudos",NA,7,"2019"
"322WUG","Adeudos",NA,7,"2020"
"322WUG","Adeudos",NA,7,"2021"
"322WUH","Sin adeudos",NA,0,"0"
"322WUL","Adeudos",NA,4,"2018"
"322WUL","Adeudos",NA,4,"2019"
"322WUL","Adeudos",NA,4,"2020"
"322WUL","Adeudos",NA,4,"2021"
"322WUN","Adeudos",NA,6,"2016"
"322WUN","Adeudos",NA,6,"2017"
"322WUN","Adeudos",NA,6,"2018"
"322WUN","Adeudos",NA,6,"2019"
"322WUN","Adeudos",NA,6,"2020"
"322WUN","Adeudos",NA,6,"2021"
"322WUP","Adeudos",NA,3,"2019"
"322WUP","Adeudos",NA,3,"2020"
"322WUP","Adeudos",NA,3,"2021"
"322WUR","Sin adeudos",NA,0,"0"
"322WUT","Adeudos",NA,5,"2017"
"322WUT","Adeudos",NA,5,"2018"
"322WUT","Adeudos",NA,5,"2019"
"322WUT","Adeudos",NA,5,"2020"
"322WUT","Adeudos",NA,5,"2021"
"322WUU","Adeudos",NA,2,"2020"
"322WUU","Adeudos",NA,2,"2021"
"322WUV","Sin adeudos",NA,0,"0"
"322WUW","Adeudos",NA,6,"2016"
"322WUW","Adeudos",NA,6,"2017"
"322WUW","Adeudos",NA,6,"2018"
"322WUW","Adeudos",NA,6,"2019"
"322WUW","Adeudos",NA,6,"2020"
"322WUW","Adeudos",NA,6,"2021"
"322WUX","Adeudos",NA,5,"2017"
"322WUX","Adeudos",NA,5,"2018"
"322WUX","Adeudos",NA,5,"2019"
"322WUX","Adeudos",NA,5,"2020"
"322WUX","Adeudos",NA,5,"2021"
"322WUY","Adeudos",NA,5,"2017"
"322WUY","Adeudos",NA,5,"2018"
"322WUY","Adeudos",NA,5,"2019"
"322WUY","Adeudos",NA,5,"2020"
"322WUY","Adeudos",NA,5,"2021"
"322WVD","Adeudos",NA,3,"2019"
"322WVD","Adeudos",NA,3,"2020"
"322WVD","Adeudos",NA,3,"2021"
"322WVF","Sin adeudos",NA,0,"0"
"322WVM","Adeudos",NA,6,"2016"
"322WVM","Adeudos",NA,6,"2017"
"322WVM","Adeudos",NA,6,"2018"
"322WVM","Adeudos",NA,6,"2019"
"322WVM","Adeudos",NA,6,"2020"
"322WVM","Adeudos",NA,6,"2021"
"322WVN","Sin adeudos",NA,0,"0"
"322WVP","Sin adeudos",NA,0,"0"
"322WVR","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322WVS","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322WVV","Adeudos",NA,4,"2018"
"322WVV","Adeudos",NA,4,"2019"
"322WVV","Adeudos",NA,4,"2020"
"322WVV","Adeudos",NA,4,"2021"
"322WVX","Sin adeudos",NA,0,"0"
"322WWA","Sin adeudos",NA,0,"0"
"322WWD","Adeudos",NA,4,"2018"
"322WWD","Adeudos",NA,4,"2019"
"322WWD","Adeudos",NA,4,"2020"
"322WWD","Adeudos",NA,4,"2021"
"322WWF","Adeudos",NA,6,"2016"
"322WWF","Adeudos",NA,6,"2017"
"322WWF","Adeudos",NA,6,"2018"
"322WWF","Adeudos",NA,6,"2019"
"322WWF","Adeudos",NA,6,"2020"
"322WWF","Adeudos",NA,6,"2021"
"322WWG","Sin adeudos",NA,0,"0"
"322WWM","Adeudos",NA,6,"2016"
"322WWM","Adeudos",NA,6,"2017"
"322WWM","Adeudos",NA,6,"2018"
"322WWM","Adeudos",NA,6,"2019"
"322WWM","Adeudos",NA,6,"2020"
"322WWM","Adeudos",NA,6,"2021"
"322WWN","Cuenta con Placa Anterior y Adeudos","322WWN",1,"2021"
"322WWP","Adeudos",NA,1,"2021"
"322WWR","Sin adeudos",NA,0,"0"
"322WWS","Adeudos",NA,2,"2020"
"322WWS","Adeudos",NA,2,"2021"
"322WWT","Adeudos",NA,5,"2017"
"322WWT","Adeudos",NA,5,"2018"
"322WWT","Adeudos",NA,5,"2019"
"322WWT","Adeudos",NA,5,"2020"
"322WWT","Adeudos",NA,5,"2021"
"322WWV","Adeudos",NA,3,"2019"
"322WWV","Adeudos",NA,3,"2020"
"322WWV","Adeudos",NA,3,"2021"
"322WWX","Adeudos",NA,4,"2018"
"322WWX","Adeudos",NA,4,"2019"
"322WWX","Adeudos",NA,4,"2020"
"322WWX","Adeudos",NA,4,"2021"
"322WWZ","Adeudos",NA,5,"2017"
"322WWZ","Adeudos",NA,5,"2018"
"322WWZ","Adeudos",NA,5,"2019"
"322WWZ","Adeudos",NA,5,"2020"
"322WWZ","Adeudos",NA,5,"2021"
"322WXA","Adeudos",NA,4,"2018"
"322WXA","Adeudos",NA,4,"2019"
"322WXA","Adeudos",NA,4,"2020"
"322WXA","Adeudos",NA,4,"2021"
"322WXC","Sin adeudos",NA,0,"0"
"322WXF","Adeudos",NA,5,"2017"
"322WXF","Adeudos",NA,5,"2018"
"322WXF","Adeudos",NA,5,"2019"
"322WXF","Adeudos",NA,5,"2020"
"322WXF","Adeudos",NA,5,"2021"
"322WXG","Sin adeudos",NA,0,"0"
"322WXH","Adeudos",NA,5,"2017"
"322WXH","Adeudos",NA,5,"2018"
"322WXH","Adeudos",NA,5,"2019"
"322WXH","Adeudos",NA,5,"2020"
"322WXH","Adeudos",NA,5,"2021"
"322WXK","Adeudos",NA,2,"2020"
"322WXK","Adeudos",NA,2,"2021"
"322WXL","Cuenta con Placa Anterior y Sin adeudos","322WXL",0,"0"
"322WXM","Sin adeudos",NA,0,"0"
"322WXS","Adeudos",NA,4,"2018"
"322WXS","Adeudos",NA,4,"2019"
"322WXS","Adeudos",NA,4,"2020"
"322WXS","Adeudos",NA,4,"2021"
"322WXV","Adeudos",NA,6,"2016"
"322WXV","Adeudos",NA,6,"2017"
"322WXV","Adeudos",NA,6,"2018"
"322WXV","Adeudos",NA,6,"2019"
"322WXV","Adeudos",NA,6,"2020"
"322WXV","Adeudos",NA,6,"2021"
"322WXZ","Sin adeudos",NA,0,"0"
"322WYB","Sin adeudos",NA,0,"0"
"322WYF","Adeudos",NA,1,"2021"
"322WYG","Cuenta con Placa Anterior y Adeudos","723NWE",4,"2018"
"322WYG","Cuenta con Placa Anterior y Adeudos","723NWE",4,"2019"
"322WYG","Cuenta con Placa Anterior y Adeudos","723NWE",4,"2020"
"322WYG","Cuenta con Placa Anterior y Adeudos","723NWE",4,"2021"
"322WYH","Adeudos",NA,4,"2018"
"322WYH","Adeudos",NA,4,"2019"
"322WYH","Adeudos",NA,4,"2020"
"322WYH","Adeudos",NA,4,"2021"
"322WYJ","Sin adeudos",NA,0,"0"
"322WYK","Sin adeudos",NA,0,"0"
"322WYL","Adeudos",NA,5,"2017"
"322WYL","Adeudos",NA,5,"2018"
"322WYL","Adeudos",NA,5,"2019"
"322WYL","Adeudos",NA,5,"2020"
"322WYL","Adeudos",NA,5,"2021"
"322WYM","Sin adeudos",NA,0,"0"
"322WYN","Adeudos",NA,5,"2017"
"322WYN","Adeudos",NA,5,"2018"
"322WYN","Adeudos",NA,5,"2019"
"322WYN","Adeudos",NA,5,"2020"
"322WYN","Adeudos",NA,5,"2021"
"322WYP","Cuenta con Placa Anterior y Sin adeudos","322WYP",0,"0"
"322WYR","Adeudos",NA,4,"2018"
"322WYR","Adeudos",NA,4,"2019"
"322WYR","Adeudos",NA,4,"2020"
"322WYR","Adeudos",NA,4,"2021"
"322WYS","Adeudos",NA,1,"2021"
"322WYT","Adeudos",NA,5,"2017"
"322WYT","Adeudos",NA,5,"2018"
"322WYT","Adeudos",NA,5,"2019"
"322WYT","Adeudos",NA,5,"2020"
"322WYT","Adeudos",NA,5,"2021"
"322WYU","Sin adeudos",NA,0,"0"
"322WYV","Adeudos",NA,4,"2018"
"322WYV","Adeudos",NA,4,"2019"
"322WYV","Adeudos",NA,4,"2020"
"322WYV","Adeudos",NA,4,"2021"
"322WYW","Sin adeudos",NA,0,"0"
"322WYX","Adeudos",NA,1,"2021"
"322WYY","Sin adeudos",NA,0,"0"
"322WZA","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322WZD","Cuenta con Placa Anterior y Adeudos","322WZD",4,"2018"
"322WZD","Cuenta con Placa Anterior y Adeudos","322WZD",4,"2019"
"322WZD","Cuenta con Placa Anterior y Adeudos","322WZD",4,"2020"
"322WZD","Cuenta con Placa Anterior y Adeudos","322WZD",4,"2021"
"322WZE","Adeudos",NA,6,"2016"
"322WZE","Adeudos",NA,6,"2017"
"322WZE","Adeudos",NA,6,"2018"
"322WZE","Adeudos",NA,6,"2019"
"322WZE","Adeudos",NA,6,"2020"
"322WZE","Adeudos",NA,6,"2021"
"322WZK","Adeudos",NA,2,"2020"
"322WZK","Adeudos",NA,2,"2021"
"322WZN","Adeudos",NA,4,"2018"
"322WZN","Adeudos",NA,4,"2019"
"322WZN","Adeudos",NA,4,"2020"
"322WZN","Adeudos",NA,4,"2021"
"322WZU","Sin adeudos",NA,0,"0"
"322WZX","Sin adeudos",NA,0,"0"
"322WZZ","Sin adeudos",NA,0,"0"
"322XAA","Adeudos",NA,5,"2017"
"322XAA","Adeudos",NA,5,"2018"
"322XAA","Adeudos",NA,5,"2019"
"322XAA","Adeudos",NA,5,"2020"
"322XAA","Adeudos",NA,5,"2021"
"322XAB","Adeudos",NA,6,"2016"
"322XAB","Adeudos",NA,6,"2017"
"322XAB","Adeudos",NA,6,"2018"
"322XAB","Adeudos",NA,6,"2019"
"322XAB","Adeudos",NA,6,"2020"
"322XAB","Adeudos",NA,6,"2021"
"322XAD","Adeudos",NA,6,"2016"
"322XAD","Adeudos",NA,6,"2017"
"322XAD","Adeudos",NA,6,"2018"
"322XAD","Adeudos",NA,6,"2019"
"322XAD","Adeudos",NA,6,"2020"
"322XAD","Adeudos",NA,6,"2021"
"322XAG","Sin adeudos",NA,0,"0"
"322XAL","Adeudos",NA,4,"2018"
"322XAL","Adeudos",NA,4,"2019"
"322XAL","Adeudos",NA,4,"2020"
"322XAL","Adeudos",NA,4,"2021"
"322XAM","Adeudos",NA,5,"2014"
"322XAM","Adeudos",NA,5,"2015"
"322XAM","Adeudos",NA,5,"2016"
"322XAM","Adeudos",NA,5,"2017"
"322XAM","Adeudos",NA,5,"2018"
"322XAU","Cuenta con Placa Anterior y Adeudos","570TZD",4,"2018"
"322XAU","Cuenta con Placa Anterior y Adeudos","570TZD",4,"2019"
"322XAU","Cuenta con Placa Anterior y Adeudos","570TZD",4,"2020"
"322XAU","Cuenta con Placa Anterior y Adeudos","570TZD",4,"2021"
"322XAV","Sin adeudos",NA,0,"0"
"322XAX","Cuenta con Placa Anterior y Sin adeudos","322XAX",0,"0"
"322XAZ","Adeudos",NA,6,"2016"
"322XAZ","Adeudos",NA,6,"2017"
"322XAZ","Adeudos",NA,6,"2018"
"322XAZ","Adeudos",NA,6,"2019"
"322XAZ","Adeudos",NA,6,"2020"
"322XAZ","Adeudos",NA,6,"2021"
"322XBA","Adeudos",NA,2,"2020"
"322XBA","Adeudos",NA,2,"2021"
"322XBB","Sin adeudos",NA,0,"0"
"322XBC","Adeudos",NA,2,"2020"
"322XBC","Adeudos",NA,2,"2021"
"322XBD","Adeudos",NA,6,"2016"
"322XBD","Adeudos",NA,6,"2017"
"322XBD","Adeudos",NA,6,"2018"
"322XBD","Adeudos",NA,6,"2019"
"322XBD","Adeudos",NA,6,"2020"
"322XBD","Adeudos",NA,6,"2021"
"322XBE","Adeudos",NA,2,"2020"
"322XBE","Adeudos",NA,2,"2021"
"322XBF","Sin adeudos",NA,0,"0"
"322XBG","Adeudos",NA,5,"2017"
"322XBG","Adeudos",NA,5,"2018"
"322XBG","Adeudos",NA,5,"2019"
"322XBG","Adeudos",NA,5,"2020"
"322XBG","Adeudos",NA,5,"2021"
"322XBH","Adeudos",NA,3,"2019"
"322XBH","Adeudos",NA,3,"2020"
"322XBH","Adeudos",NA,3,"2021"
"322XBK","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322XBL","Sin adeudos",NA,0,"0"
"322XBM","Sin adeudos",NA,0,"0"
"322XBN","Sin adeudos",NA,0,"0"
"322XBR","Adeudos",NA,6,"2016"
"322XBR","Adeudos",NA,6,"2017"
"322XBR","Adeudos",NA,6,"2018"
"322XBR","Adeudos",NA,6,"2019"
"322XBR","Adeudos",NA,6,"2020"
"322XBR","Adeudos",NA,6,"2021"
"322XBS","Adeudos",NA,5,"2017"
"322XBS","Adeudos",NA,5,"2018"
"322XBS","Adeudos",NA,5,"2019"
"322XBS","Adeudos",NA,5,"2020"
"322XBS","Adeudos",NA,5,"2021"
"322XBT","Adeudos",NA,4,"2018"
"322XBT","Adeudos",NA,4,"2019"
"322XBT","Adeudos",NA,4,"2020"
"322XBT","Adeudos",NA,4,"2021"
"322XBV","Sin adeudos",NA,0,"0"
"322XBW","Sin adeudos",NA,0,"0"
"322XBZ","Sin adeudos",NA,0,"0"
"322XCA","Adeudos",NA,6,"2016"
"322XCA","Adeudos",NA,6,"2017"
"322XCA","Adeudos",NA,6,"2018"
"322XCA","Adeudos",NA,6,"2019"
"322XCA","Adeudos",NA,6,"2020"
"322XCA","Adeudos",NA,6,"2021"
"322XCD","Sin adeudos",NA,0,"0"
"322XCH","Cuenta con Placa Anterior y Adeudos","428XCC",3,"2019"
"322XCH","Cuenta con Placa Anterior y Adeudos","428XCC",3,"2020"
"322XCH","Cuenta con Placa Anterior y Adeudos","428XCC",3,"2021"
"322XCK","Adeudos",NA,4,"2018"
"322XCK","Adeudos",NA,4,"2019"
"322XCK","Adeudos",NA,4,"2020"
